"provocation","sources"
"""Remember to imagine and craft the worlds you cannot live without, just as you dismantle the ones you cannot live within.""  Ruha Benjamin","Small AI – text only.md: ""Inspired by this article about Timnit Gebru, and countermovements like slow fashion and slow food, it aims to subvert corporate-first thinking by collectively exploring new perspectives—such as Small AI, Ancestral AI, and Esoteric AI—as pathways to ‘imagine and craft the worlds we cannot live without, just as we dismantle the ones we cannot live within’ (Ruha Benjamin)."" | ""By rethinking how we collect, curate, and contest data, they reveal that data practices are not merely technical exercises but deeply political acts with the power to reshape our understanding of ecological, social, and political landscapes. Their work suggests a path forward: repurposing the very tools used for oppression into instruments that establish truth and demand justice."" | ""Their approach embodies Audre Lorde's concept of ""using the master's tools to dismantle the master's house,"" repurposing surveillance technologies and architectural analysis to confront power structures rather than reinforce them."""
"What could we make with AI if scale wasn't an objective?","Small AI – text only.md: ""What could we make with AI if scale wasn’t an objective?"" | ""Seeing data this way naturally brings in care, consent, and thoughtful selection, transforming data collection from an exploitative process into a mindful practice. This reimagining of our relationship with data is already taking shape in practical ways. In this section, I’ll share examples of applied AI that showcase the breadth of possibilities when scale in no longer the objective."" | ""A vision that explores what AI could be if we didn’t design for scale or profit. Instead, Small AI calls for a more grounded approach, where AI systems are designed specifically for the human and non-human ecologies that sustain it."""
"How do existing local initiatives challenge dominant narratives of AI?","Small AI – text only.md: ""• Masakhane highlights the gaps in geographic and linguistic diversity within natural language processing, underscoring the need for inclusive, localized approaches to AI. • ANOTHER WAY IS POSSIBLE showcase how AI hardware can be made and deployed at a community-scale, responsive to the local environment and available resources."" | ""Placefulness Placefulness offers an alternative to the frontier narrative of mainstream AI—that globalized vision disconnected from the realities of land and peoples, we discussed at the beginning of this chapter. Grounded firmly in place, this counter-narrative urges us to confront the histories of displacement, colonization, and environmental degradation."" | ""From artists building personal AI models to citizen scientists preserving their evolving (marginalized) languages — we've seen how small-scale approaches can protect cultural heritage, advance ecological preservation, and redistribute power from the few big tech corporations to the many communities around the world."""
"Can we design AI systems for the human and non-human ecologies that sustain it?","Small AI – text only.md: ""Designing for the interconnected web of living and nonliving systems that underpin AI. For example, the Website Carbon Calculator shows the relation between the web and carbon emissions through a “badge” that can be added to the footer of any website that automatically calculates and displays the carbon emissions of each page—aiming to increases awareness of web carbon emissions. We can again look to Nadia Piet’s project Feminist UX of AI for inspiration."" | ""By shifting away from the expectation of relentless production, we could ask new questions: • How might we reduce AI’s environmental impact by modeling its activity after natural cycles, with periods of activity, rest, dormancy, and even death? • How might this foster deeper connections between technology and ecological systems to enable synergies and better coexistence?"" | ""Moving with Nature Moving with nature offers an alternative to the mainstream narrative of AI existing in the cloud—floating above oceans and continents, detached from the material world. This counter-vision emphasizes the profound interconnectedness of all things, inviting us to ground AI design in the ecologies that make it possible and recognize it as tied to geography, resources, and the living systems it relies on."""
"What makes small-scale data solution work?","Small AI – text only.md: ""A model trained on and for a particular community's needs will likely serve that community better than a massive general-purpose system trained on internet-scale data. This isn't about the model being “smaller” or less capable—it's about being more relevant and attuned to real people’s local needs."" | ""I asked: • What makes small-scale data solutions work? How does placefulness shape these dynamics? • How can cooperative ecologies and economies ground Small AI, offering alternatives to profit-driven models? • What could community or collective data and AI governance look like? How do existing local initiatives challenge dominant narratives around AI? I outlined an alternative to the bigger-is-better approaches that dominate AI development today."" | ""From artists building personal AI models to citizen scientists preserving their evolving (marginalized) languages — we've seen how small-scale approaches can protect cultural heritage, advance ecological preservation, and redistribute power from the few big tech corporations to the many communities around the world."""
"How does placefulness shape AI development?","Small AI – text only.md: ""Placefulness reminds us that design is never void of bias or cultural positioning—it is always shaped by the cultures, histories, and values we choose to embed within it. Small AI is small because it is not about wholesale narratives—instead about moving into a future with plural of ways of designing and bringing AI into fruition."" | ""An awareness of place can help us foreground the stories, struggles, and migrations that define the places where AI is built. When we see our cultures, technologies, and systems as shaped by continuous movement and exchange, we open ourselves to designing with care and responsibility. Placefulness is about embracing the interconnectedness of our histories and acknowledging that we already know how to incorporate the unfamiliar into our lives."" | ""Placefulness invites us to design AI systems and governance frameworks that reflect values like kaitiakitanga, manaakitanga, and rangatiratanga. It suggests that the future of design and technology lies in remaking, reshaping, and reclaiming tools and practices to serve justice, sustainability, and local ecologies and customs."""
"How can cooperative ecologies and economies offer alternatives to profit-driven AI models?","Small AI – text only.md: ""I asked: • What makes small-scale data solutions work? How does placefulness shape these dynamics? • How can cooperative ecologies and economies ground Small AI, offering alternatives to profit-driven models? • What could community or collective data and AI governance look like? How do existing local initiatives challenge dominant narratives around AI? I outlined an alternative to the bigger-is-better approaches that dominate AI development today."" | ""From artists building personal AI models to citizen scientists preserving their evolving (marginalized) languages — we've seen how small-scale approaches can protect cultural heritage, advance ecological preservation, and redistribute power from the few big tech corporations to the many communities around the world."" | ""A vision that explores what AI could be if we didn’t design for scale or profit. Instead, Small AI calls for a more grounded approach, where AI systems are designed specifically for the human and non-human ecologies that sustain it."""
"What does community or collective data and AI governance look like?","Small AI – text only.md: ""The license restricts open access and gives priority to the community to access and use data, acknowledging the histories of colonial extraction that privileged those who could benefit from open access. The Katiakitanga license allows us to prototype a framework for responsibility in AI governance that is about community well-being, the integrity of cultural heritage, and past and future generations."" | ""Building on these insights, The Call helps create a data institution based on bottom-up, collective and participatory processes—an approach that allows for ‘the distribution of power between contributors to training data and those who use the models.’"" | ""I asked: • What makes small-scale data solutions work? How does placefulness shape these dynamics? • How can cooperative ecologies and economies ground Small AI, offering alternatives to profit-driven models? • What could community or collective data and AI governance look like? How do existing local initiatives challenge dominant narratives around AI? I outlined an alternative to the bigger-is-better approaches that dominate AI development today."""
"AI systems are not smooth, but irregular and complex, with more details emering the closer you look at them – much like the coastline paradox.","Small AI – text only.md: ""I zoomed in on the local and the small to explore how AI systems are not smooth but rather irregular and complex, with more details emerging the closer you look at them—much like the coastline paradox."" | ""Captions The coastline paradox is the counterintuitive idea that a landmass’s coastline has no fixed length. The measurement depends on the scale used: for example, measuring the coastline of Great Britain with 100 km (62 mi) segments gives a length of about 2,800 km (1,700 mi). Reducing the segment size to 50 km (31 mi) increases the total length to approximately 3,400 km (2,100 mi)—an additional 600 km (370 mi). The smaller the unit, the longer the measured coastline becomes."" | ""AI is not a singular intelligent entity; it’s an ecosystem of people, machines, and places. Much of my work has been on unveiling this reality: The human hands and the very real, very finite natural resources behind AI systems."""
"If you go into a community with a mindset that data is just a resource, a monetary valuable thing, you're fundamentally harming the community and you're also diminshing the value of that data.   Michael Running Wolf","Small AI – text only.md: ""With the words of Michael Running Wolf, founder of Indigenous in AI, in my mind, ‘If you go into a community with a mindset that data is just a resource, a monetary valuable thing, you’re fundamentally harming the community, and you’re also diminishing the value of this data’"" | ""With AI, we treat every behavior, action, and object as a potential data point—a resource ready to be captured, claimed, and exploited. We dismiss people and communities in pursuit of more and more data—or is it ""AI fuel"" —while funneling very real and finite resources like energy and water into this one goal."" | ""What unites them is their commitment to exploring unconventional models that go beyond standard legal and financial protocols: they create working prototypes that reimagine how data can be managed for benefit of people rather than commercial profit."""
